Designator,Mid X,Mid Y,Rotation,Layer
C1,8.9,21.0,180.0,top
C10,33.4,42.8,180.0,top
C11,60.32,30.2,0.0,top
C12,60.2,32.99,0.0,top
C13,21.48,46.0,180.0,top
C14,34.0,23.2,270.0,top
C15,35.2,23.2,270.0,top
C16,37.7,23.4,90.0,top
C17,39.8,23.4,270.0,top
C18,36.2,27.8,180.0,top
C19,36.0,31.8,0.0,top
C2,12.2,22.0,0.0,top
C20,42.3,34.8,0.0,top
C21,44.6,34.8,0.0,top
C3,68.0,42.6,0.0,top
C4,66.02,49.0,180.0,top
C5,8.8,23.1,180.0,top
C6,77.92,44.0,180.0,top
C7,73.0,44.2,0.0,top
C8,66.2,46.8,0.0,top
C9,9.8,19.6,180.0,top
D1,70.2,73.8,90.0,top
D2,75.5,41.5,0.0,top
D3,70.0,66.0,90.0,top
D4,45.5,16.5,270.0,top
D5,3.9,11.7,0.0,top
F1,76.4,68.99,270.0,top
J1,73.75,83.0,180.0,top
J10,54.8857,83.5,180.0,top
J11,60.65,4.0,0.0,top
J2,44.2,6.2,90.0,top
J3,41.0,41.5,90.0,top
J4,14.41,12.4725,0.0,top
J5,66.62,37.0,0.0,top
J6,31.14,13.14,0.0,top
J7,15.9197,83.5,180.0,top
J8,28.8857,83.5,180.0,top
J9,41.8682,83.5,180.0,top
JP1,75.5,4.295,180.0,top
K1,13.61,63.17,90.0,top
K2,28.3,63.17,90.0,top
K3,42.99,63.17,90.0,top
K4,57.68,63.17,90.0,top
Q1,28.08,39.225,90.0,bottom
R1,9.8,22.0,0.0,top
R10,36.4,24.0,270.0,top
R11,38.7,23.4,270.0,top
R12,32.4,23.2,90.0,top
R13,30.6,23.2,90.0,top
R14,32.4,26.0,0.0,top
R15,38.0,29.8,90.0,top
R16,51.2,30.6,0.0,top
R17,61.0,12.3,90.0,top
R18,64.5,12.3,90.0,top
R19,54.0,12.3,90.0,top
R2,12.2,20.8,180.0,top
R20,57.5,12.3,90.0,top
R21,60.2,24.2,270.0,top
R22,55.2,24.2,270.0,top
R23,57.6,24.2,270.0,top
R24,62.8,24.2,270.0,top
R3,36.5,44.1,180.0,top
R4,6.0,19.7,0.0,top
R5,37.1,41.5,180.0,top
R6,26.3,46.5,0.0,top
R7,27.0,23.2,270.0,top
R8,42.0,17.4,90.0,top
R9,28.8,23.2,90.0,top
SW1,4.0,6.0,90.0,top
U1,73.2,55.3,90.0,top
U2,13.5,34.5,90.0,top
U3,58.26,42.6725,180.0,top
U4,33.875,38.975,0.0,top
U5,44.5,29.0,90.0,top
U6,59.5,18.8,0.0,top
Y1,36.0,29.8,180.0,top
